yyyy,public,all_stock,horz,domestic,relsize,bidder_mtb,bidder_lev,bidder_tang,bidder_cash,bidder_rd,rate,post,lbidder_size,med_mtb_sect
1993,1,1,0,0,.16513637,1.5892757,.31640464,1.5347258,.014776819,.0059206178,.069299996,0,5.9684238,2.3638852
1993,0,1,0,1,.019320395,1.5892757,.31640464,1.5347258,.014776819,.0059206178,.069200002,0,5.8260589,2.3638852
1995,0,0,0,1,.12081785,1.2294631,.55031329,.69081467,.036691915,0,.076499999,0,5.5947113,2.2945156
1995,1,1,1,1,1.0033333,4.9691353,0,1.0369706,.082231686,0,.0757,0,3.4965076,2.2945156
1995,0,0,1,1,.01009846,1.528625,.15053946,1.0998113,.069403455,.0038463401,.072999999,0,8.2842522,2.2945156
1996,1,1,1,1,.52449238,2.9911697,.34066367,1.0997925,.03334254,0,.074200004,0,8.4715681,2.1345148
1996,0,0,1,0,1.3319296,2.0795145,.74676675,1.5387732,.031215914,0,.075000003,0,3.9467528,2.1345148
1997,1,1,1,0,.39128914,1.8916516,.12482221,1.3293903,.060453758,0,.066100001,0,7.4145727,1.4966551
1997,1,0,1,1,.022975352,1.334709,.11514825,1.0808696,.097604021,.0034257949,.067600004,0,8.4215631,1.4966551
1999,1,0,1,1,.55928916,1.0711333,.1660677,1.2074258,.044018663,.0035739101,.073899999,0,8.1772346,1.1595773
1999,1,1,1,0,.08782918,1.816238,.21693674,1.5318176,.088052362,0,.066399999,0,7.5842648,1.1595773
2000,1,0,1,1,.1901844,1.7850488,.29975715,1.1058322,.016348731,0,.076499999,0,8.3371096,.9318608
2001,1,0,1,0,.51563209,1.4129407,.27813396,1.1346209,.017172623,0,.067699999,1,8.3652067,1.4180752
2001,1,1,1,0,.62928432,1.4129407,.27813396,1.1346209,.017172623,0,.067699999,1,8.408494,1.4180752
2002,1,1,1,0,.23667479,3.9254577,0,1.2558373,.44740048,0,.067500003,1,6.8723421,2.1254196
2005,1,1,1,0,.25389162,2.3976779,.0067695109,.76827013,.20513563,0,.0535,1,6.0063534,3.0623138
2005,0,0,1,0,.055834729,2.4080048,0,.79744422,.24414304,0,.0513,1,7.4905295,3.0623138
2006,1,0,1,0,.088079467,1.7382493,0,.56065726,.11037958,.0010305149,.055100001,1,7.3198647,3.5522249
2006,1,0,1,1,2.32234,2.6769052,.18064158,1.0972265,.13758031,0,.053200003,1,9.3168602,3.5522249
2006,1,1,0,0,.255512,5.3282504,.11092623,1.1673599,.04450915,0,.055300001,1,8.2827358,3.5522249
