yyyymmdd,yyyy,deal_value,public,private,tender_offer,all_stock,carbidder,bidder_size,sigma_bidder,run_up_bidder,hostile,horz,relsize,bidder_mtb,bidder_fcf,bidder_lev
20141222,2014,24.5,0,1,0,0,0.0129613,216703.5,0.0210608,0.44857091,0,0,0.11238532,1.747936,-0.008756684,0
20141222,2014,82.739998,1,0,0,1,-0.16789991,43013.699,0.033198599,0.72189748,0,0,1.622353,7.6076803,-0.71208346,0.74676675
20141217,2014,149.23,1,0,0,1,0.17460559,494567.5,0.039787401,0.31903121,0,0,0.33915907,0.78699756,-0.22542202,0.10607496
20141208,2014,9334.6699,1,0,1,0,-0.0205162,174000000,0.0112127,0.98666912,0,1,0.055676188,1.915876,0.042756401,0.19441526
20141204,2014,185.58,1,0,1,0,0.0139782,2402498,0.0270874,0.8978858,0,0,0.075469702,2.583004,0.00616221,0.17806739
20141202,2014,4.46,0,1,0,0,-0.0285252,68039.422,0.0361358,0.91496682,0,0,0.056455698,1.9535055,-0.48493117,0
20141201,2014,1684.79,1,0,0,1,0.1052357,1574553,0.019226201,0.89805198,0,1,1.0516791,2.8609688,-0.062949508,0.31696865
20141124,2014,801.06,1,0,1,0,0.082943603,10500000,0.023360901,1.056107,0,1,0.065958008,4.8909769,-0.078406394,0.29146409
20141124,2014,96.529999,1,0,0,0,0.0606374,5255276,0.033429999,0.38484949,0,0,0.023071224,8.887558,0.040186509,0.017026823
20141117,2014,68445.398,1,0,0,0,0.1197386,62900000,0.0176489,1.2385859,0,1,1.1392187,1.8681934,-0.033050396,0.37478822
20141112,2014,195,0,1,0,0,-0.0342266,1291347,0.021810301,0.984487,0,0,0.14750378,0.99659395,-0.011356687,0.40026444
20141112,2014,900,0,1,0,0,-0.0312609,1666752,0.0091931,1.040283,0,0,0.54844606,1.6686943,0.040697023,0.27301756
20141112,2014,4.8000002,0,1,0,0,0.0035894,379486.81,0.0337741,0.91033012,0,1,0.016000001,3.0389249,-0.14343475,0.21973002
20141111,2014,26.889999,0,1,0,0,-0.097982503,23721.119,0.0198132,0.9000122,0,0,1.1691304,0.80064815,-0.084443174,0
20141111,2014,31.709999,1,0,0,0,0.22066189,1178063,0.0175428,1.009823,0,0,0.028516186,1.6242955,0.043018505,0.21917808
20141106,2014,130,0,1,0,0,-0.047968201,340911,0.026862601,0.9238801,0,1,0.40247679,1.4335814,0.018200662,0.17810948
20141106,2014,264.5,0,1,0,0,0.075522304,1820897,0.014545,0.9471212,0,0,0.13351843,1.6796789,0.034995977,0.18020917
20141105,2014,70,0,1,0,0,0.0080255,703416.31,0.0243892,0.88902658,0,1,0.095367849,4.1616106,-0.017060803,0
20141104,2014,69.949997,1,0,1,0,0.008530201,593455.81,0.0271262,0.74821931,0,0,0.14018035,1.5900768,0.053101897,0
20141104,2014,70.199997,1,0,0,0,-0.019166401,955641.13,0.0154986,1.0024149,0,0,0.078260869,2.1672304,0.1377524,0
20141103,2014,6169.8398,1,0,0,0,-0.040124699,9167502,0.0100415,1.063064,0,0,0.71667325,1.7664636,0.082602389,0.414749
20141103,2014,24.82,0,1,0,0,-0.091362901,43320.84,0.033195298,0.34389481,0,0,0.73000002,1.586249,-0.065388627,0
20141103,2014,39,0,1,0,0,0.0103595,450292.09,0.019813901,0.70493388,0,0,0.10427807,1.3589044,0.023288706,0.334254
20141029,2014,857.46997,1,0,0,1,0.049219798,1253138,0.0154174,0.9882834,0,0,0.71814907,1.2335122,0.017288798,0.46191201
20141028,2014,1298.13,0,1,0,0,0.1755468,617444.5,0.0162187,1.014189,0,0,1.141715,1.1563019,0.058832068,0.20160119
20141027,2014,3,0,1,0,0,-0.055230901,39485.5,0.1010991,2.3501639,0,0,0.07692308,1.3099988,-0.75342792,0
20141016,2014,33.5,0,1,0,0,0.25700739,740463.31,0.0253669,2.3802631,0,1,0.049777117,1.4959608,-0.008584693,0.31213552
20141015,2014,250.55,1,0,0,0,0.0071106,5827994,0.0132483,1.058231,0,0,0.042251267,1.5006214,0.075186566,0.32033584
20141013,2014,4977.75,1,0,0,0,-0.1071676,7949357,0.0200445,1.324869,0,1,0.61506855,1.6298783,0.043306425,0.43969589
20141013,2014,1869.08,1,0,0,0,-0.14472429,5671040,0.019973099,1.6002491,0,1,0.31988361,1.5899917,0.033280428,0.49421355
20141009,2014,16.129999,1,0,0,1,0.0020873,86510.578,0.0289314,0.53713048,0,1,0.55620688,1.9264053,-0.064250983,0.075125635
20141008,2014,33.880001,0,1,0,0,-0.0259999,448066.69,0.015749799,0.78544903,0,1,0.076825403,1.3861059,0.036584496,0.001361375
20141007,2014,21,0,1,0,0,0.0152035,82997.992,0.019685499,0.91164732,0,0,0.2658228,1.0254967,-0.034767754,0
