permno,car,event_date,PQS,VOL,EXCH
10108,0.023,20020722,0.434174786,0.270672478,N
10299,0.21,20000403,0.176677382,0.796448857,Q
10324,0.014,20011214,-0.383044939,0.255439585,Q
10562,0.021,20040701,-0.403658482,-0.319172233,N
10696,-0.012,20010402,-0.696826921,0.10014721,Q
10725,0.081,20000619,-0.768323209,0.003524311,N
10909,-0.007,20100430,-0.04375051,0.325979603,Q
11403,-0.047,20170918,-0.167647846,0.170939116,Q
11415,-0.105,20060227,-0.257130769,0.410800592,N
11552,0.136,20061106,1.345107031,0.135547825,Q
11600,-0.104,20081114,-0.629792898,0.210726851,Q
11618,-0.03,20080915,0.012826564,0.645508035,Q
11786,-0.06,20180319,-0.318071616,0.308205136,Q
11891,-0.022,20170726,0.006476931,0.289738636,N
11896,-0.006,20000510,-0.19484205,-0.033446118,Q
11970,0.031,20000601,0.002944575,0.048670952,Q
11983,0.269,20000131,-0.154708423,1.226186343,Q
12062,0.074,20041101,-0.278849921,0.064752382,N
12067,-0.172,20000619,-0.146955792,-0.086967349,Q
12073,0.154,20081113,-0.612622207,0.080069815,Q
12308,0.08,20160908,-0.097701707,0.102137958,Q
12369,-0.02,20130607,-0.150756084,-2.11E-05,N
12558,-0.115,20120525,-0.124844001,2.208293848,N
12622,-0.127,20150127,-0.220419566,-0.130560746,N
12623,-0.068,20180103,-0.200890405,1.164102957,N
12650,-0.048,20130524,0.023039366,-0.154026859,N
12981,0.007,20160624,-0.165411078,0.214412884,N
13407,0.105,20131223,-0.189883749,-0.22873658,Q
13911,0.046,20170829,-0.085198508,0.471685278,N
13936,-0.032,20130214,-0.172065738,0.193513456,N
13964,-0.012,20150921,-0.026428481,-0.289775919,Q
13983,-0.038,20161003,0.063958617,2.816682374,N
14295,0.115,20180607,-0.202777082,-0.06501113,N
14338,-0.119,20170619,-0.069105807,0.049050523,N
14776,-0.033,20151118,-0.226179929,1.73779826,N
14889,-0.158,20160201,0.228447165,-0.077726541,N
15456,-0.066,20160404,0.114788281,-0.032734716,N
15553,0.018,20111213,-0.290837215,0.083381162,N
19166,-0.032,20090819,-0.094787845,-0.276883459,N
20415,-0.041,20070827,0.112285689,0.070567761,N
21020,0.024,20150323,0.111626872,0.031846508,Q
22032,-0.005,20041220,-0.105866382,0.229661123,Q
23085,-0.045,20090102,0.211655652,0.054580336,N
23318,0.132,20001124,0.011044924,0.08734565,Q
23393,-0.027,20151229,-0.172233221,0.649046591,N
23501,0.06,20071109,-0.685579275,0.861925686,N
23536,0.096,20081031,0.27623967,0.22768208,N
23660,-0.161,20010301,-0.529541483,-0.048780604,Q
23887,0.019,20010227,0.051056014,0.953709172,N
24053,0.009,20180605,-0.020293933,1.915064226,N
24328,0.053,20081219,-0.24810618,0.009468893,N
24360,-0.019,20000821,-0.458334736,0.143727042,N
25099,0.008,20070222,0.054129138,0.460574758,N
25232,-0.059,20100315,-0.195316582,0.403446024,N
25582,-0.016,20080922,1.089745466,0.45715592,N
26332,-0.101,20010402,-0.866007358,0.405127659,Q
26382,-0.008,20080623,-0.259443735,1.287723846,N
27043,0.019,20070212,-0.386220311,0.199059624,N
27422,0.064,20091221,-0.315012925,0.295164166,N
27756,-0.003,20061201,-0.108479695,0.189886898,N
28345,-0.036,20050815,-0.38869589,0.787411517,N
28804,-0.092,20160513,0.241903669,0.285732803,N
29102,-0.058,20001018,2.593150863,0.122935524,A
30940,-0.053,20081002,0.671817653,0.54324181,N
32707,-0.171,20100301,-0.272416565,0.345248387,N
32870,0.005,20090304,-0.097515858,0.056781893,N
35554,0.029,20040227,-0.040989568,0.201919622,N
36397,0.072,20020506,-0.629690493,0.001233544,N
37161,-0.001,20011010,0.422695197,0.614434644,N
37284,0.028,20070927,-0.228192049,0.212655115,N
38093,-0.014,20160531,-0.126850837,0.437713936,N
38762,-0.016,20001102,3.068721685,-0.556900754,N
40125,0.104,20170404,-0.072339177,0.343257248,N
42585,-0.076,20081106,1.080787001,1.445754205,N
42877,-0.024,20150701,0.040437368,0.370012138,Q
43610,0.545,20010921,-0.983983745,0.757897121,Q
44206,-0.102,20090317,-0.297850113,0.163836404,N
45277,-0.01,20010904,0.105218753,0.09777552,N
45794,0.025,20061002,-0.189198528,-0.063225313,N
45911,0.029,20150312,-0.082129034,0.1748422,Q
48486,-0.029,20120605,0.016593449,0.028740751,Q
50017,0.246,20071221,-0.504701599,0.885308122,N
51263,-0.032,20071116,-0.205785476,0.804205429,N
51596,0.104,20001212,-0.309318782,1.249373836,N
51706,-0.02,20020211,-0.234900234,0.144380946,N
52090,0.032,20030321,0.048318511,-0.009582043,N
52230,-0.254,20001205,5.114940567,0.583404571,N
52329,0.012,20071026,-0.179096531,0.724978021,N
52708,0.005,20051004,0.747765366,0.106815999,N
53225,0.055,20071231,0.795626724,0.511039965,N
53225,0.055,20071231,0.034890774,-0.181756404,N
53225,-0.105,20131129,0.795626724,0.511039965,N
53225,-0.105,20131129,0.034890774,-0.181756404,N
53866,0.038,20010806,0.530398162,0.604259199,N
58094,0.076,20020717,-0.03073182,0.6336467,N
58318,-0.017,20061220,-0.06153144,0.315897412,N
58819,-0.017,20160701,0.142742437,0.547787186,N
61241,-0.035,20170320,-0.01720365,0.095114904,Q
61815,0.09,20071008,-0.704659794,0.245956904,N
62519,-0.08,20070104,-0.127023629,-0.052788686,N
63765,-0.147,20080606,-0.430209191,0.610834675,N
63830,-0.055,20070601,1.538118925,0.520158741,N
65330,-0.092,20060424,-0.218831112,0.654523472,N
65402,-0.064,20170726,-0.191116224,-0.098049151,N
65541,-0.058,20160923,-0.49058037,0.800782701,N
66384,0.047,20090701,-0.573081402,-0.125876991,N
68857,-0.018,20101220,-0.309201543,0.054262274,N
69550,0.022,20040423,0.31518309,0.380647573,N
69649,-0.02,20170320,-0.146732416,0.230568276,N
69796,-0.027,20050705,-0.381621335,0.157935847,N
70033,0.174,20000131,-0.033443759,0.894561911,N
70308,0.013,20090909,-0.242652794,0.089251317,N
73139,-0.114,20001212,8.404608011,1.015287601,N
73940,-0.139,20001211,4.36107201,-0.385267373,N
75100,0.11,20000621,-0.562043377,0.322109857,N
75107,-0.022,20180531,-0.411527734,0.578197916,Q
75224,0.029,20060201,-0.181018723,0.235251647,N
75241,-0.132,20080924,2.185809699,0.505253743,N
75577,0.474,20000418,-0.430498985,0.120630995,Q
75607,-0.247,20030331,-0.226928308,-0.155582204,Q
75825,-0.143,20001102,0.008518126,0.408545596,N
75828,-0.032,20020722,-0.073820529,0.324915327,Q
76082,-0.143,20080623,0.099966486,1.241676642,N
76095,-0.044,20160330,-0.058902947,0.247084139,Q
76240,0.017,20020515,-0.43031862,-0.031886993,N
76282,0.066,20030224,-0.368341663,0.565284888,N
76565,-0.067,20011107,1.323274416,0.275466741,N
76614,0.163,20130501,0.245927877,0.096383466,Q
76619,0.048,20050830,-0.158132626,0.194522628,N
76624,0.109,20010803,-0.705465295,0.306062908,Q
76625,0.032,20081117,-0.461603734,-0.158853459,Q
76638,0.032,20011217,0.647502916,-0.238635757,N
76639,-0.082,20080102,-0.050775217,1.263531282,N
76656,0.115,20000616,-0.346055384,1.254225451,Q
76708,0.049,20090609,-0.333603901,-0.500874622,N
76709,-0.064,20170105,-0.297477613,0.376343694,Q
76744,-0.138,20130923,-0.045613057,0.346368681,Q
76757,0.015,20001211,10.70578373,0.666157599,N
76841,0.123,20031113,-2.563640859,0.163295082,Q
77150,-0.051,20040803,-0.242238535,0.035782768,N
77157,0.022,20090102,-0.063559369,0.693552633,N
77173,0.222,20001212,0.257398541,0.235330384,Q
