Industry Name,MarketDebt_Capital ,EffectiveTaxRate,InstitutionalHoldings,EBITDA_EV,NetPPE_TotalAssets
Advertising,0.42,0.06,0.26,0.12,0.07
Aerospace/Defense,0.16,0.12,0.56,0.07,0.13
Air Transport,0.42,0.25,0.76,0.15,0.59
Apparel,0.25,0.10,0.53,0.09,0.11
Auto & Truck,0.60,0.08,0.60,0.09,0.18
Auto Parts,0.22,0.08,0.59,0.13,0.26
Bank (Money Center),0.61,0.27,0.53,0.00,0.01
Banks (Regional),0.37,0.26,0.35,0.00,0.01
Beverage (Alcoholic),0.21,0.10,0.38,0.06,0.19
Beverage (Soft),0.19,0.06,0.25,0.06,0.15
Broadcasting,0.53,0.17,0.55,0.11,0.07
Brokerage & Investment Banking,0.69,0.15,0.64,0.00,0.01
Building Materials,0.18,0.23,0.73,0.08,0.26
Business & Consumer Services,0.22,0.11,0.48,0.08,0.11
Cable TV,0.35,0.22,0.45,0.10,0.19
Chemical (Basic),0.29,0.10,0.47,0.10,0.42
Chemical (Diversified),0.21,0.12,0.77,0.06,0.21
Chemical (Specialty),0.22,0.10,0.54,0.07,0.27
Coal & Related Energy,0.31,0.05,0.34,0.20,0.60
Computer Services,0.24,0.09,0.52,0.09,0.08
Computers/Peripherals,0.15,0.05,0.46,0.08,0.08
Construction Supplies,0.25,0.17,0.72,0.07,0.18
Diversified,0.25,0.12,0.53,0.07,0.18
Drugs (Biotechnology),0.14,0.01,0.36,0.04,0.07
Drugs (Pharmaceutical),0.13,0.02,0.32,0.06,0.11
Education,0.28,0.08,0.53,0.09,0.20
Electrical Equipment,0.14,0.05,0.34,0.06,0.20
Electronics (Consumer & Office),0.06,0.06,0.20,0.01,0.11
Electronics (General),0.13,0.08,0.45,0.07,0.22
Engineering/Construction,0.23,0.13,0.65,0.10,0.10
Entertainment,0.25,0.05,0.43,0.09,0.15
Environmental & Waste Services,0.26,0.04,0.38,0.08,0.38
Farming/Agriculture,0.36,0.08,0.46,0.07,0.19
Financial Svcs. (Non-bank & Insurance),0.91,0.20,0.38,0.00,0.01
Food Processing,0.24,0.15,0.55,0.07,0.14
Food Wholesalers,0.27,0.12,0.68,0.09,0.23
Furn/Home Furnishings,0.22,0.13,0.48,0.10,0.22
Green & Renewable Energy,0.50,0.02,0.35,0.06,0.76
Healthcare Products,0.15,0.05,0.43,0.05,0.11
Healthcare Support Services,0.20,0.14,0.56,0.09,0.04
Heathcare Information and Technology,0.16,0.06,0.45,0.05,0.08
Homebuilding,0.28,0.24,0.75,0.07,0.01
Hospitals/Healthcare Facilities,0.64,0.11,0.61,0.12,0.41
Hotel/Gaming,0.29,0.14,0.49,0.07,0.55
Household Products,0.17,0.07,0.32,0.07,0.14
Information Services,0.14,0.16,0.65,0.05,0.04
Insurance (General),0.28,0.15,0.64,0.06,0.02
Insurance (Life),0.36,0.15,0.71,0.06,0.00
Insurance (Prop/Cas.),0.21,0.19,0.63,0.08,0.01
Investments & Asset Management,0.30,0.08,0.42,0.05,0.01
Machinery,0.16,0.14,0.65,0.07,0.13
Metals & Mining,0.23,0.02,0.18,0.11,0.59
Office Equipment & Services,0.34,0.18,0.56,0.12,0.13
Oil/Gas (Integrated),0.13,0.11,0.67,0.08,0.72
Oil/Gas (Production and Exploration),0.30,0.02,0.38,0.09,0.80
Oil/Gas Distribution,0.48,0.05,0.53,0.07,0.62
Oilfield Svcs/Equip.,0.24,0.05,0.56,0.08,0.37
Packaging & Container,0.33,0.22,0.73,0.10,0.34
Paper/Forest Products,0.29,0.14,0.65,0.11,0.47
Power,0.43,0.20,0.67,0.09,0.68
Precious Metals,0.15,0.02,0.23,0.11,0.58
Publishing & Newspapers,0.31,0.12,0.57,0.12,0.17
R.E.I.T.,0.44,0.02,0.76,0.04,0.53
Real Estate (Development),0.31,0.06,0.41,0.03,0.56
Real Estate (General/Diversified),0.19,0.13,0.41,0.03,0.18
Real Estate (Operations & Services),0.32,0.09,0.31,0.07,0.09
Recreation,0.23,0.10,0.56,0.09,0.27
Reinsurance,0.22,0.11,0.73,0.07,0.00
Restaurant/Dining,0.24,0.15,0.64,0.07,0.47
Retail (Automotive),0.43,0.19,0.74,0.09,0.28
Retail (Building Supply),0.15,0.15,0.43,0.07,0.50
Retail (Distributors),0.31,0.14,0.57,0.07,0.08
Retail (General),0.24,0.23,0.75,0.10,0.50
Retail (Grocery and Food),0.46,0.21,0.48,0.14,0.55
Retail (Online),0.10,0.08,0.52,0.03,0.20
Retail (Special Lines),0.35,0.22,0.65,0.13,0.20
Rubber& Tires,0.44,0.08,1.06,0.18,0.40
Semiconductor,0.12,0.08,0.64,0.08,0.22
Semiconductor Equip,0.10,0.09,0.60,0.09,0.12
Shipbuilding & Marine,0.32,0.08,0.37,0.08,0.62
Shoe,0.09,0.17,0.66,0.06,0.16
Software (Entertainment),0.06,0.02,0.68,0.04,0.03
Software (Internet),0.03,0.03,0.40,0.04,0.14
Software (System & Application),0.12,0.04,0.47,0.04,0.07
Steel,0.27,0.07,0.59,0.12,0.38
Telecom (Wireless),0.55,0.08,0.41,0.16,0.28
Telecom. Equipment,0.17,0.08,0.54,0.07,0.07
Telecom. Services,0.44,0.08,0.39,0.14,0.33
Tobacco,0.15,0.05,0.34,0.07,0.10
Transportation,0.23,0.22,0.82,0.09,0.48
Transportation (Railroads),0.18,0.24,0.61,0.09,0.86
Trucking,0.41,0.21,0.67,0.09,0.22
Utility (General),0.40,0.31,0.76,0.08,0.69
Utility (Water),0.28,0.15,0.40,0.06,0.77
