date,gdp
01-01-62,3336.8
01-04-62,3372.7
01-07-62,3404.8
01-10-62,3418
01-01-63,3456.1001
01-04-63,3501.1001
01-07-63,3569.5
01-10-63,3595
01-01-64,3672.7
01-04-64,3716.3999
01-07-64,3766.8999
01-10-64,3780.2
01-01-65,3873.5
01-04-65,3926.3999
01-07-65,4006.2
01-10-65,4100.6001
01-01-66,4201.8999
01-04-66,4219.1001
01-07-66,4249.2002
01-10-66,4285.6001
01-01-67,4324.8999
01-04-67,4328.7002
01-07-67,4366.1001
01-10-67,4401.2002
01-01-68,4490.6001
01-04-68,4566.3999
01-07-68,4599.2998
01-10-68,4619.7998
01-01-69,4691.6001
01-04-69,4706.7002
01-07-69,4736.1001
01-10-69,4715.5
01-01-70,4707.1001
01-04-70,4715.3999
01-07-70,4757.2002
01-10-70,4708.2998
01-01-71,4834.2998
01-04-71,4861.8999
01-07-71,4900
01-10-71,4914.2998
01-01-72,5002.3999
01-04-72,5118.2998
01-07-72,5165.3999
01-10-72,5251.2002
01-01-73,5380.5
01-04-73,5441.5
01-07-73,5411.8999
01-10-73,5462.3999
01-01-74,5417
01-04-74,5431.2998
01-07-74,5378.7002
01-10-74,5357.2002
01-01-75,5292.3999
01-04-75,5333.2002
01-07-75,5421.3999
01-10-75,5494.3999
01-01-76,5618.5
01-04-76,5661
01-07-76,5689.7998
01-10-76,5732.5
01-01-77,5799.2002
01-04-77,5913
01-07-77,6017.6001
01-10-77,6018.2002
01-01-78,6039.2002
01-04-78,6274
01-07-78,6335.2998
01-10-78,6420.2998
01-01-79,6433
01-04-79,6440.7998
01-07-79,6487.1001
01-10-79,6503.8999
01-01-80,6524.8999
01-04-80,6392.6001
01-07-80,6382.8999
01-10-80,6501.2002
01-01-81,6635.7002
01-04-81,6587.2998
01-07-81,6662.8999
01-10-81,6585.1001
01-01-82,6475
01-04-82,6510.2002
01-07-82,6486.7998
01-10-82,6493.1001
01-01-83,6578.2002
01-04-83,6728.2998
01-07-83,6860
01-10-83,7001.5
01-01-84,7140.6001
01-04-84,7266
01-07-84,7337.5
01-10-84,7396
01-01-85,7469.5
01-04-85,7537.8999
01-07-85,7655.2002
01-10-85,7712.6001
01-01-86,7784.1001
01-04-86,7819.7998
01-07-86,7898.6001
01-10-86,7939.5
01-01-87,7995
01-04-87,8084.7002
01-07-87,8158
01-10-87,8292.7002
01-01-88,8339.2998
01-04-88,8449.5
01-07-88,8498.2998
01-10-88,8610.9004
01-01-89,8697.7002
01-04-89,8766.0996
01-07-89,8831.5
01-10-89,8850.2002
01-01-90,8947.0996
01-04-90,8981.7002
01-07-90,8983.9004
01-10-90,8907.4004
01-01-91,8865.5996
01-04-91,8934.4004
01-07-91,8977.2998
01-10-91,9016.4004
01-01-92,9123
01-04-92,9223.5
01-07-92,9313.2002
01-10-92,9406.5
01-01-93,9424.0996
01-04-93,9480.0996
01-07-93,9526.2998
01-10-93,9653.5
01-01-94,9748.2002
01-04-94,9881.4004
01-07-94,9939.7002
01-10-94,10052.5
01-01-95,10086.9
01-04-95,10122.1
01-07-95,10208.8
01-10-95,10281.2
01-01-96,10348.7
01-04-96,10529.4
01-07-96,10626.8
01-10-96,10739.1
01-01-97,10820.9
01-04-97,10984.2
01-07-97,11124
01-10-97,11210.3
01-01-98,11321.2
01-04-98,11431
01-07-98,11580.6
01-10-98,11770.7
01-01-99,11864.7
01-04-99,11962.5
01-07-99,12113.1
01-10-99,12323.3
01-01-00,12359.1
01-04-00,12592.5
01-07-00,12607.7
01-10-00,12679.3
01-01-01,12643.3
01-04-01,12710.3
01-07-01,12670.1
01-10-01,12705.3
01-01-02,12822.3
01-04-02,12893
01-07-02,12955.8
01-10-02,12964
01-01-03,13031.2
01-04-03,13152.1
01-07-03,13372.4
01-10-03,13528.7
01-01-04,13606.5
01-04-04,13706.2
01-07-04,13830.8
01-10-04,13950.4
01-01-05,14099.1
01-04-05,14172.7
01-07-05,14291.8
01-10-05,14373.4
01-01-06,14546.1
01-04-06,14589.6
01-07-06,14602.6
01-10-06,14716.9
01-01-07,14726
01-04-07,14838.7
01-07-07,14938.5
01-10-07,14991.8
01-01-08,14889.5
01-04-08,14963.4
01-07-08,14891.6
01-10-08,14577
01-01-09,14375
01-04-09,14355.6
01-07-09,14402.5
01-10-09,14541.9
01-01-10,14604.8
01-04-10,14745.9
01-07-10,14845.5
01-10-10,14939
01-01-11,14881.3
01-04-11,14989.6
01-07-11,15021.1
01-10-11,15190.3
01-01-12,15291
01-04-12,15362.4
01-07-12,15380.8
01-10-12,15384.3
01-01-13,15491.9
01-04-13,15521.6
01-07-13,15641.3
01-10-13,15793.9
01-01-14,15747
01-04-14,15900.8
01-07-14,16094.5
01-10-14,16186.7
